사업장명,도로명소재지,대표업종,종
국일화학 주식회사,경상북도 영천시 채신2공단길 32 (채신동),식초  발효 및 화학 조미료 제조업,5종
(주)피앤알,경상북도 영천시 북안면 신효로 134,비금속원료 재생업,5종
(주)거성피엔피,경상북도 영천시 청통면 청통초등길 33-1,플라스틱 필름  시트 및 판 제조업,5종
(주)제이에이치메탈,경상북도 영천시 청통면 관방길 67-13,폐기물 처리업,4종
정진케미텍,경상북도 영천시 고경면 고도길 66-5,그외 기타 플라스틱제품 제조업,5종
주식회사 정산,경상북도 영천시 도남공단3길 14 (도남동),토목공사 및 유사용 기계장비 제조업,4종
(주)수안,경상북도 영천시 고경면 상리공단길 23,가공 및 재생 플라스틱원료 생산업,5종
(주)미건테크,경상북도 영천시 고경면 고도길 70,자동차부품 제조업,5종
(주)엠피아이,경상북도 영천시 대창면 금창로 632-8,자동차부품 제조업,5종
(주)대호리텍,경상북도 영천시 임고면 신선로 562,폐기물 처리업,5종
동진미강,경상북도 영천시 칠백로 885-73 (도동),곡물 제분업,5종
(주)성원리사이클,경상북도 영천시 대창면 용대로 944-7,지정외 폐기물 처리업,4종
(주)디앤케이,경상북도 영천시 영천아이시로 106-70 (봉동),치약  비누 및 기타 세제 제조업,5종
(주)대영알앤씨,경상북도 영천시 고경면 상계로 259-42 (대영개발㈜),건설 폐기물 처리업,4종
신태양산업,경상북도 영천시 고경면 거곡로 151-16,비금속류 원료 재생업,5종
(주)미광,경상북도 영천시 북안면 북안공단길 20 ((주)미광),비료 및 질소화합물 제조업,4종
(주)호정산업,경상북도 영천시 채신2공단길 79-28 (채신동),부직포 및 펠트 제조업,5종
육군제3887부대 제2탄약창,경상북도 영천시 주남3길 61 (금노동),국방 행정,4종
신우레미콘아스콘 주식회사,경상북도 영천시 고경면 거곡로 41-52,아스콘 제조업,4종
오성산업,경상북도 영천시 청통면 애련길 28-20,플라스틱제품 제조업,5종
엘케이산업,경상북도 영천시 청통면 보성공단길 31-7,기타 자동차부품 제조업,5종
바이오피드(주),경상북도 영천시 고경면 추곡길 193-42,동물용 사료 및 조제식품 제조업,5종
주식회사 엠제이비전테크 영천지점,경상북도 영천시 도남공단길 12 (도남동),그외 기타 분류안된 비금속광물제품 제조업,5종
(주)썬폴리폼,경상북도 영천시 청통면 청통로 428-30,합성수지 및 기타 플라스틱물질 제조업,4종
