연번,시도,시군구,읍면동,리,지번,기타지번,위도 도,위도 분,위도 초,경도 도,경도 분,경도 초,취약지역유형,소유별,취약지역 지정사유 및 목적,지정일
88,경상북도,영천시,자양면,보현리,산111-1임,,36,8,43.199,129,1,48.2,토석류,사유림,계류 전체적으로 침식 및 붕괴가 발달하고 양안의 사면이 침식 및 풍화등으로 연약해져 퇴적물들이 계류로 지속적으로 유입되고 있어 산사태 발생 우려지역의 선정이 필요하다고 생각됨,2015-07-20
89,경상북도,영천시,고경면,파계리,산102,,35,58,14.194,129,6,40.109,토석류,사유림,퇴적물분포비율이 높고 계류수에 의한 유동된 흔적과 계안침식흔적이 관찰되고 표층유실로 인한 토사유출이 관측되므로 사방댐을 설치하는 것이 적절하다 판단됨,2016-06-29
90,경상북도,영천시,자양면,보현리,368답,,36,7,43.041,129,2,58.039,토석류,사유림,침식이 발생된 구간 및 추가적인 침식이 발생될 것으로 예상되는 구간을 취약지역으로 선정함이 적절하다고 생각됨.,2015-07-20
91,경상북도,영천시,화북면,하송리,105구 산78임 632구,582답,36,9,44.129,128,55,7.174,토석류,사유림,본 조사지역은 황폐화가 진행 중인 유역으로 유출구하부로 인가밀집지가 존재하나 그에 따른 사방시설물이 없어 강우시 발생가능성이 높은 산사태 및 토석류에 무방비로 노출되어 발생 시 인명 및 재산피해가 클 것으로 예상됨.,2014-09-06
92,경상북도,영천시,자양면,신방리,산80임 산79임,,36,4,27.399,129,5,54.1,토석류,사유림,본 조사지역은 황폐화가 진행 중인 유역으로 유출구하부로 인가밀집지가 존재하나 그에 따른 사방시설물이 없어 강우시 발생가능성이 높은 산사태 및 토석류에 무방비로 노출되어 발생 시 인명 및 재산피해가 클 것으로 예상됨.,2014-09-06
93,경상북도,영천시,청통면,치일리,산25-1임,,35,59,44.998,128,46,1.041,토석류,사유림,"유역면적이 넓고 퇴적물이 다수 분포하고 세굴, 유실, 침식이 다수 관찰되며 수목전도도 관찰되는 등 집중호우 시 토석류 발생 예방을 위하여 사방댐 설치가 필요하다고 사료됨",2016-06-29
94,경상북도,영천시,화산면,당지리,산148구,685임,36,5,30.998,128,50,24.041,토석류,사유림,최단부 주변 경작지 기슭의 유실이 진행 중이고 암반풍화도가 높으며 그 외 위험요소들로 인해 강우 시 인명 및 재산피해가 우려되므로 계류보전사업이 필요한 것으로 사료됨,2016-06-29
95,경상북도,영천시,신녕면,화서리,산217임,,36,4,38.199,128,43,51,토석류,사유림,전반적으로 좌측 사면의 풍화가 심하여 붕괴된 부분이 존재하여 추후 강우시 사면의 포화로 인하여 추가적인 붕괴가 우려됨,2015-07-20
96,경상북도,영천시,신녕면,화남리,1451구,,36,4,54.2,128,46,13.599,토석류,사유림,"누구침식 및 계상퇴적지가 발달하였으며, 전석 및 유목 등이 관찰되므로 취약지역으로의 선정을 제안함",2018-12-21
97,경상북도,영천시,화남면,구전리,산21임,,36,6,32.899,128,51,44.2,토석류,사유림,계안침식이 활발히 일어나 구곡이 심화되고 있는 계류로 급격한 유량 증가시 토사에 의한 피해가 있다고 판단되어 산사태 발생 우려지역으로 선정해야 할 것으로 사료됨,2015-07-20
98,경상북도,영천시,화남면,온천리,산12임,,36,5,4.499,128,51,40.9,토석류,사유림,계류 전반적으로 소규모 붕괴지가 다수 관찰되며 일부 암반층이 파괴된 곳이 있음. 계안침식이 활발히 일어나 구곡이 심화되고 있는 계류로 급격한 유량 증가시 토사에 의한 피해가 있다고 판단되어 산사태 발생 우려지역으로 선정이 필요 할 것으로 사료됨,2015-07-20
99,경상북도,영천시,임고면,수성리,산308구,,36,3,59.899,129,7,24.7,토석류,사유림,벌채로 인한 산림토양의 물리적 안정성이 약화됨에 따라 유출계수가 높아 강우 시 빗물의 빠른 유출이 예상되며 계류내 전석 자갈 등 퇴적물에 의한 계상상으로 강우 시 통수에 어려움이 예상되어 산사태 및 토석류 위험이 있기에 산사태 발생 우려지역으로 선정해야 한다고 사료됨,2015-07-20
100,경상북도,영천시,북안면,상리,산162구,산123임,35,50,40.938,128,59,0.402,토석류,사유림,본 유역은 지반이 취약하며 기슭에서의 유실오 인한 토사유출로 재산피해가 우려되므로 배수시설 또는 사방시설을 설치하여 인명 및 재산피해를 예방하는 것이 적절할 것으로 판단됨,2016-06-29
101,경상북도,영천시,자양면,삼귀리,산83임,,36,5,2.299,129,3,54.2,토석류,사유림,계류 양안으로 침식이 발달하여 토석들이 지속적으로 유입되고 있어 계상 내 퇴적물의 비율이 높은 것으로 조사되었음. 강우 시 유량이 늘어나면 토석류로 발전 할 가능성이 있음.,2015-07-20
102,경상북도,영천시,신녕면,치산리,산255천,,36,2,37.539,128,42,37.354,토석류,사유림,토석류 지정,2014-09-06
103,경상북도,영천시,자양면,충효리,산3-1임,,36,7,27.563,129,3,22.899,토석류,사유림,최단부부터 계류 상부까지 다량의 퇴적물이 존재하지만 배수기능이 원활하지 못해 하부 도로에 피해가능성이 높아 취약지역으로 지정을 추천함.,2018-12-21
